Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-4bw7,checkpoint-gv9f,checkpoint-fk7v,branch-gxdo,checkpoint-3ran,branch-az1z,checkpoint-ivyp,checkpoint-lc6f,checkpoint-i3d1,randomiser-ab8b,randomiser-jycv,randomiser-ygby,Randomise questionnaire elements?,Question Key,Response
1,1633099992050,01/10/2021 14:53:12,1633099991581,-4,01/10/2021 10:53:11,50681,20,questionnaire-9ki4,,16123247,te7twl89,4764573,,complete,wiyfcv,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1364x768,2728x1250,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target1,Target1,No,BEGIN QUESTIONNAIRE,
2,1633100007702,01/10/2021 14:53:27,1633100006952,-4,01/10/2021 10:53:26,50681,20,questionnaire-9ki4,,16123247,te7twl89,4764573,,complete,wiyfcv,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1364x768,2694x1250,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target1,Target1,No,Consent_Q,Consent
3,1633100008019,01/10/2021 14:53:28,1633100006954,-4,01/10/2021 10:53:26,50681,20,questionnaire-9ki4,,16123247,te7twl89,4764573,,complete,wiyfcv,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1364x768,2694x1250,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target1,Target1,No,Consent_Q-quantised,1
4,1633100008019,01/10/2021 14:53:28,1633100006954,-4,01/10/2021 10:53:26,50681,20,questionnaire-9ki4,,16123247,te7twl89,4764573,,complete,wiyfcv,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1364x768,2694x1250,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target1,Target1,No,END QUESTIONNAIRE,15373
1,1633101836251,01/10/2021 15:23:56,1633101836057,-4,01/10/2021 11:23:56,50681,20,questionnaire-9ki4,,16125100,7hu2ch2w,4764836,,complete,wamoyp,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1364x768,1364x657,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target2,Target1,No,BEGIN QUESTIONNAIRE,
2,1633101876275,01/10/2021 15:24:36,1633101876112,-4,01/10/2021 11:24:36,50681,20,questionnaire-9ki4,,16125100,7hu2ch2w,4764836,,complete,wamoyp,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1364x768,1347x657,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target2,Target1,No,Consent_Q,Consent
3,1633101876571,01/10/2021 15:24:36,1633101876113,-4,01/10/2021 11:24:36,50681,20,questionnaire-9ki4,,16125100,7hu2ch2w,4764836,,complete,wamoyp,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1364x768,1347x657,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target2,Target1,No,Consent_Q-quantised,1
4,1633101876571,01/10/2021 15:24:36,1633101876114,-4,01/10/2021 11:24:36,50681,20,questionnaire-9ki4,,16125100,7hu2ch2w,4764836,,complete,wamoyp,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1364x768,1347x657,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target2,Target1,No,END QUESTIONNAIRE,40057
1,1633101999607,01/10/2021 15:26:39,1633102001484,-5,01/10/2021 10:26:41,50681,20,questionnaire-9ki4,,16125231,u7wmfjru,4764851,,complete,ucubhr,,computer,Desktop or Laptop,Windows 10,Edge 93.0.961.38,1920x1080,1881x888,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target1,Target2,No,BEGIN QUESTIONNAIRE,
2,1633102003164,01/10/2021 15:26:43,1633102005056,-5,01/10/2021 10:26:45,50681,20,questionnaire-9ki4,,16125231,u7wmfjru,4764851,,complete,ucubhr,,computer,Desktop or Laptop,Windows 10,Edge 93.0.961.38,1920x1080,1864x888,Demographics complete,Consent (Mturk),8,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target1,Target2,No,Consent_Q,Consent
