Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-4bw7,checkpoint-gv9f,checkpoint-fk7v,branch-gxdo,checkpoint-3ran,branch-az1z,checkpoint-ivyp,checkpoint-lc6f,checkpoint-i3d1,randomiser-ab8b,randomiser-jycv,randomiser-ygby,Randomise questionnaire elements?,Question Key,Response
2,1633098242577,01/10/2021 14:24:02,1633098242492,-4,01/10/2021 10:24:02,50681,20,questionnaire-pcei,,16120833,puz8oc63,4764169,,complete,lpjvxx,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1366x768,1366x657,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target2,No,END QUESTIONNAIRE,4934
1,1633098238987,01/10/2021 14:23:58,1633098238862,-5,01/10/2021 09:23:58,50681,20,questionnaire-pcei,,16120835,s0sswp0w,4764170,,complete,tdtddf,,computer,Desktop or Laptop,Windows 10,Firefox 92.0,1366x768,1319x604,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target1,No,BEGIN QUESTIONNAIRE,
2,1633098362678,01/10/2021 14:26:02,1633098362571,-5,01/10/2021 09:26:02,50681,20,questionnaire-pcei,,16120835,s0sswp0w,4764170,,complete,tdtddf,,computer,Desktop or Laptop,Windows 10,Firefox 92.0,1366x768,1319x604,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target1,Target1,No,END QUESTIONNAIRE,123709
1,1633098247563,01/10/2021 14:24:07,1633098247425,-4,01/10/2021 10:24:07,50681,20,questionnaire-pcei,,16120836,f724213p,4764171,,complete,hzaleq,,computer,Desktop or Laptop,Windows 10,Firefox 92.0,1366x768,1366x615,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target2,Target1,No,BEGIN QUESTIONNAIRE,
2,1633098261059,01/10/2021 14:24:21,1633098260969,-4,01/10/2021 10:24:20,50681,20,questionnaire-pcei,,16120836,f724213p,4764171,,complete,hzaleq,,computer,Desktop or Laptop,Windows 10,Firefox 92.0,1366x768,1366x615,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target2,Target2,Target1,No,END QUESTIONNAIRE,13544
1,1633098238718,01/10/2021 14:23:58,1633098213962,-5,01/10/2021 09:23:33,50681,20,questionnaire-pcei,,16120837,kx6011rq,4764172,,complete,vvobru,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1920x1080,1920x975,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target1,Target1,No,BEGIN QUESTIONNAIRE,
2,1633098247955,01/10/2021 14:24:07,1633098223252,-5,01/10/2021 09:23:43,50681,20,questionnaire-pcei,,16120837,kx6011rq,4764172,,complete,vvobru,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1920x1080,1920x975,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target1,Target1,No,END QUESTIONNAIRE,9290
1,1633098242193,01/10/2021 14:24:02,1633098246124,-4,01/10/2021 10:24:06,50681,20,questionnaire-pcei,,16120843,oe986hvy,4764175,,complete,iiwnjc,,computer,Desktop or Laptop,Windows 10,Edge 93.0.961.38,1600x900,1561x748,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target1,No,BEGIN QUESTIONNAIRE,
2,1633098250238,01/10/2021 14:24:10,1633098254193,-4,01/10/2021 10:24:14,50681,20,questionnaire-pcei,,16120843,oe986hvy,4764175,,complete,iiwnjc,,computer,Desktop or Laptop,Windows 10,Edge 93.0.961.38,1600x900,1561x748,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target1,No,END QUESTIONNAIRE,8069
1,1633098246216,01/10/2021 14:24:06,1633098246039,-7,01/10/2021 07:24:06,50681,20,questionnaire-pcei,,16120851,bulryy1d,4764179,,complete,ztyapl,,computer,Desktop or Laptop,Windows 10,Chrome 94.0.4606.61,1366x768,1366x625,Demographics complete,Title Pages,2,Consent complete,Task complete,Demographics complete,AcceptedConsent,,AgeInRange1,,Age in range,Inventories complete,Target1,Target2,Target2,No,BEGIN QUESTIONNAIRE,
